Student_id,Time_used(seconds),Sex,County,Total_Rater_1,Total_Rater_2,Total_Average,Asp_25_Rater_1,Asp_25_Rater_2,Asp_28_Rater_1,Asp_28_Rater_2,Asp_28_Average,Asp_34_Rater_1,Asp_34_Rater_2,Asp_34_Average,Asp_35_Rater_1,Asp_35_Rater_2,Asp_39_Rater_1,Asp_39_Rater_2,Asp_40_Rater_1,Asp_40_Rater_2,Asp_40_Average,Asp_41_Rater_1,Asp_41_Rater_2,Asp_42_Rater_1,Asp_42_Rater_2,Asp_42_Average,Asp_43_Rater_1,Asp_43_Rater_2,Asp_43_Average,word_count,sent_count,word_len,sent_len,LIX,SMOG,FK,lemma_count,TTR,RTTR,Uber,Maas,MTLD,CVV,LD,A,D,I,J,K,N,P,S,V,SV_ratio,F-index,A_TTR,D_TTR,J_TTR,K_TTR,P_TTR,S_TTR,V_TTR,S_abstr,rare_5000,rare_4000,rare_3000,rare_2000,rare_1000,n_cases,Nom,Gen,Par,Add,Ill,AddIll,Ine,Ela,All,Ade,Abl,Tra,Ter,Ess,Abe,Com,Sing,Plur,S_cases,S_Plur,A_cases,A_Plur,A_Pos,A_Cmp,A_Sup,P_cases,P_Plur,P_Prs,P_Reflex,P_Dem,P_Ind,P_IntRel,V_Fin,V_Ind,V_Cnd,V_Imp,V_Prs1,V_Prs2,V_Prs3,V_Pres,V_Past,V_Sing,V_Plur,V_Neg,V_Pass,V_NonFin,V_Inf,V_Part,V_Conv,J_Sub,K_Post,replaced_words,replaced_word_ratio,wordorder_errors,wordorder_error_ratio,missing_words,missing_word_ratio,unnecessary_words,unnecessary_word_ratio,whitespace_errors,whitespace_error_ratio,misc_errors,misc_error_ratio,replaced_punct,replaced_punct_ratio,unnecessary_punct,unnecessary_punct_ratio,missing_punct,missing_punct_ratio,error_count,errors_per_word,errors_per_sent,spelling_errors,spell_error_word_ratio,paragraph_count,mean_word_count,mean_sent_count,std_word_count,std_sent_count,diff_word_count,diff_sent_count
id_ opwlQQ,2331,M,Harju maakond,19.0,20,19.5,2.0,0,1.0,2,1.5,3.0,3,3.0,3.0,3,3.0,3,2.0,2,2.0,3.0,3,1.0,2,1.5,1.0,2,1.5,266,18,5.92481203,14.77777778,52,16.72815622,18.386867167919807,141,0.530075188,8.645264687,49.11555431,0.020360149,194.9529915,2.685380347,0.515037594,0.071428571,0.109022556,0.0,0.120300752,0.018796992,0.0,0.135338346,0.278195489,0.266917293,1.042253521,42.85714286,0.684210526,0.827586207,0.25,0.8,0.305555556,0.675675676,0.450704225,2.213114754,0.078947368,0.101503759,0.157894737,0.184210526,0.233082707,9,0.310077519,0.23255814,0.23255814,0.0,0.0,0.0,0.031007752,0.007751938,0.069767442,0.054263566,0.0,0.015503876,0.0,0.0,0.0,0.023255814,0.697674419,0.279069767,9,0.22972973,3,0.263157895,1.0,0.0,0.0,6,0.388888889,0.138888889,0.194444444,0.333333333,0.222222222,0.111111111,0.492957746,0.436619718,0.042253521,0.0,0.0,0.014084507,0.38028169,0.492957746,0.0,0.281690141,0.112676056,0.070422535,0.0,0.366197183,0.295774648,0.0,0.070422535,0.28125,1.0,12,0.522,1,0.043,0,0.0,0,0.0,2,0.087,2,0.087,0,0.0,2,0.087,4,0.174,23,0.086466165,1.277777778,5,0.019,4,65.75,4.25,24.281337140555777,1.5,58,3
id_ Svw2ap,1786,M,Harju maakond,19.0,16,17.5,2.0,1,2.0,2,2.0,2.0,1,1.5,2.0,2,2.0,2,2.0,2,2.0,2.0,2,2.0,2,2.0,3.0,2,2.5,321,23,5.414330218,13.95652174,39,14.04653615,15.1440092103481,159,0.495327103,8.874514598,47.41321295,0.021091167,100.6910377,2.562050461,0.498442368,0.090342679,0.199376947,0.0,0.118380062,0.012461059,0.0,0.109034268,0.22741433,0.242990654,0.935897436,38.94080997,0.724137931,0.59375,0.236842105,0.5,0.285714286,0.671232877,0.41025641,1.62,0.074766355,0.090342679,0.115264798,0.146417445,0.171339564,11,0.445255474,0.197080292,0.153284672,0.01459854,0.00729927,0.02189781,0.03649635,0.02189781,0.02919708,0.065693431,0.0,0.01459854,0.0,0.0,0.0,0.00729927,0.788321168,0.204379562,10,0.260273973,7,0.103448276,0.827586207,0.172413793,0.0,6,0.171428571,0.285714286,0.057142857,0.428571429,0.085714286,0.142857143,0.641025641,0.576923077,0.064102564,0.0,0.012820513,0.0,0.461538462,0.641025641,0.012820513,0.320512821,0.153846154,0.08974359,0.025641026,0.269230769,0.256410256,0.012820513,0.0,0.421052632,1.0,7,0.389,2,0.111,1,0.056,1,0.056,0,0.0,1,0.056,0,0.0,0,0.0,6,0.333,18,0.056074766,0.782608696,4,0.012,6,53.16666666666666,3.6666666666666665,11.548448669265785,1.0327955589886444,29,3
id_ 4aOeTs,2392,M,Harju maakond,21.0,17,19.0,2.0,0,2.0,1,1.5,3.0,2,2.5,2.0,2,3.0,2,2.0,2,2.0,3.0,2,3.0,3,3.0,1.0,3,2.0,201,19,5.965174129,10.57894737,49,14.0943151,16.010416339355857,101,0.502487562,7.12399072,40.86846971,0.024468741,116.6712734,2.765041509,0.55721393,0.144278607,0.124378109,0.0,0.104477612,0.0,0.0,0.134328358,0.218905473,0.273631841,0.8,41.54228856,0.620689655,0.56,0.333333333,0.0,0.259259259,0.636363636,0.527272727,1.735294118,0.084577114,0.134328358,0.154228856,0.184079602,0.223880597,9,0.45,0.11,0.25,0.01,0.0,0.01,0.02,0.03,0.05,0.02,0.0,0.05,0.0,0.0,0.0,0.0,0.58,0.4,9,0.272727273,7,0.586206897,0.896551724,0.103448276,0.0,6,0.407407407,0.333333333,0.074074074,0.444444444,0.037037037,0.111111111,0.618181818,0.527272727,0.090909091,0.0,0.036363636,0.0,0.436363636,0.618181818,0.036363636,0.290909091,0.181818182,0.090909091,0.0,0.181818182,0.145454545,0.036363636,0.0,0.476190476,0.0,10,0.714,1,0.071,1,0.071,0,0.0,0,0.0,1,0.071,0,0.0,0,0.0,1,0.071,14,0.069651741,0.736842105,4,0.02,5,39.8,3.6,11.366617790706258,0.5477225575051661,24,1
id_ dIRMVq,3300,N,Harju maakond,27.0,27,27.0,3.0,3,3.0,3,3.0,3.0,3,3.0,3.0,3,3.0,3,3.0,3,3.0,3.0,3,3.0,3,3.0,3.0,3,3.0,219,13,7.04109589,16.84615385,63,19.36468378,23.470410958904107,149,0.675925926,9.934041735,73.76997526,0.01355565,277.9506383,3.057147992,0.606481481,0.127853881,0.136986301,0.0,0.095890411,0.01826484,0.0,0.091324201,0.351598174,0.178082192,1.974358974,54.56621005,0.857142857,0.8,0.333333333,0.75,0.55,0.714285714,0.692307692,2.272727273,0.114155251,0.127853881,0.150684932,0.187214612,0.232876712,9,0.28,0.208,0.184,0.008,0.0,0.008,0.04,0.04,0.0,0.096,0.0,0.096,0.0,0.008,0.0,0.0,0.576,0.384,9,0.376623377,4,0.428571429,0.821428571,0.178571429,0.0,6,0.35,-2.77556e-17,0.15,0.35,0.2,0.3,0.615384615,0.564102564,0.025641026,0.025641026,0.051282051,0.0,0.512820513,0.615384615,0.025641026,0.358974359,0.205128205,0.0,0.051282051,0.358974359,0.307692308,0.025641026,0.025641026,0.285714286,1.0,4,0.5,0,0.0,1,0.125,1,0.125,0,0.0,1,0.125,0,0.0,0,0.0,1,0.125,8,0.03652968,0.615384615,0,0.0,4,54.25,3.0,6.291528696058959,0.0,13,0
id_ J1u7xV,3794,N,Harju maakond,26.0,26,26.0,2.0,2,3.0,3,3.0,3.0,3,3.0,3.0,3,3.0,3,3.0,3,3.0,3.0,3,3.0,3,3.0,3.0,3,3.0,225,19,6.426666667,11.84210526,58,16.55869095,19.026643274853807,142,0.631111111,9.466666667,63.73200601,0.015690703,315.0,2.88797949,0.631111111,0.146666667,0.124444444,0.0,0.102222222,0.013333333,0.0,0.102222222,0.302222222,0.208888889,1.446808511,51.33333333,0.878787879,0.821428571,0.347826087,1.0,0.391304348,0.647058824,0.595744681,2.018181818,0.08,0.102222222,0.173333333,0.217777778,0.302222222,9,0.459677419,0.137096774,0.169354839,0.0,0.0,0.0,0.032258065,0.032258065,0.032258065,0.096774194,0.0,0.016129032,0.0,0.0,0.0,0.016129032,0.64516129,0.346774194,9,0.352941176,7,0.242424242,0.909090909,0.060606061,0.03030303,6,0.47826087,0.173913043,0.130434783,0.391304348,0.130434783,0.173913043,0.595744681,0.574468085,0.021276596,0.0,0.0,0.0,0.531914894,0.595744681,0.063829787,0.361702128,0.170212766,0.063829787,0.021276596,0.319148936,0.255319149,0.063829787,0.0,0.304347826,0.666666667,2,0.333,1,0.167,1,0.167,1,0.167,0,0.0,1,0.167,0,0.0,0,0.0,0,0.0,6,0.026666667,0.315789474,0,0.0,5,44.2,3.6,6.833739825307955,0.5477225575051661,15,1
id_ VtCDSw,2434,N,Harju maakond,14.0,16,15.0,1.0,1,2.0,2,2.0,1.0,2,1.5,2.0,2,2.0,2,2.0,2,2.0,0.0,0,2.0,2,2.0,2.0,3,2.5,200,18,6.08,11.11111111,51,15.17262662,16.768333333333334,112,0.56,7.919595949,48.41543888,0.020654569,200.0,2.528781691,0.52,0.1,0.19,0.0,0.07,0.005,0.005,0.12,0.225,0.285,0.789473684,36.75,0.75,0.631578947,0.285714286,1.0,0.5,0.711111111,0.473684211,2.25,0.08,0.1,0.12,0.145,0.225,9,0.333333333,0.133333333,0.266666667,0.0,0.0,0.0,0.077777778,0.022222222,0.066666667,0.022222222,0.011111111,0.0,0.0,0.0,0.0,0.044444444,0.7,0.277777778,7,0.355555556,4,0.2,0.7,0.3,0.0,7,0.208333333,0.083333333,0.166666667,0.375,0.25,0.125,0.561403509,0.385964912,0.175438596,0.0,0.01754386,0.0,0.263157895,0.561403509,0.0,0.192982456,0.087719298,0.122807018,0.01754386,0.298245614,0.280701754,0.0,0.01754386,0.5,0.0,8,0.667,1,0.083,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.25,12,0.06,0.666666667,2,0.01,4,49.5,4.25,23.951339558919592,2.753785273643051,52,6
id_ EcGXw8,3287,N,Harju maakond,9.0,11,10.0,1.0,0,1.0,2,1.5,1.0,1,1.0,1.0,2,2.0,2,2.0,2,2.0,1.0,1,0.0,0,0.0,0.0,1,0.5,207,11,5.946859903,18.81818182,51,17.54021597,19.56744839701361,116,0.558252427,8.012429664,48.6946645,0.020536131,161.061082,2.77241312,0.509708738,0.09178744,0.154589372,0.0,0.082125604,0.024154589,0.004830918,0.149758454,0.241545894,0.246376812,0.980392157,40.33816425,0.631578947,0.59375,0.352941176,0.8,0.419354839,0.72,0.549019608,2.054054054,0.072463768,0.082125604,0.09178744,0.101449275,0.1352657,11,0.415841584,0.207920792,0.148514851,0.0,0.00990099,0.00990099,0.04950495,0.00990099,0.02970297,0.00990099,0.0,0.04950495,0.0,0.01980198,0.0,0.03960396,0.445544554,0.544554455,11,0.44,4,0.736842105,0.947368421,0.052631579,0.0,5,0.612903226,0.064516129,0.129032258,0.258064516,0.225806452,0.322580645,0.607843137,0.588235294,0.019607843,0.0,0.019607843,0.0,0.411764706,0.588235294,0.058823529,0.137254902,0.294117647,0.098039216,0.078431373,0.254901961,0.215686275,0.039215686,0.0,0.352941176,1.0,5,0.152,2,0.061,2,0.061,2,0.061,1,0.03,2,0.061,0,0.0,1,0.03,18,0.545,33,0.15942029,3.0,6,0.029,3,68.33333333333333,3.333333333333333,24.906491790963525,1.5275252316519468,45,3
id_ HYFKRc,3149,M,Harju maakond,19.0,14,16.5,2.0,0,2.0,2,2.0,2.0,2,2.0,3.0,2,3.0,3,2.0,1,1.5,2.0,2,1.0,0,0.5,2.0,2,2.0,264,19,5.856060606,13.89473684,49,15.56248524,17.13879585326954,132,0.5,8.124038405,44.85513218,0.022293993,151.0722433,2.75,0.537878788,0.098484848,0.136363636,0.0,0.121212121,0.015151515,0.0,0.121212121,0.234848485,0.272727273,0.861111111,40.90909091,0.538461538,0.638888889,0.15625,1.0,0.3125,0.709677419,0.458333333,2.076923077,0.064393939,0.109848485,0.151515152,0.181818182,0.223484848,10,0.316666667,0.166666667,0.3,0.016666667,0.0,0.016666667,0.05,0.0,0.008333333,0.058333333,0.008333333,0.058333333,0.0,0.0,0.0,0.016666667,0.575,0.425,8,0.403225806,7,0.538461538,0.846153846,0.153846154,0.0,8,0.375,0.28125,0.125,0.375,0.125,0.09375,0.569444444,0.472222222,0.097222222,0.0,0.013888889,0.013888889,0.347222222,0.569444444,0.0,0.263888889,0.111111111,0.111111111,0.027777778,0.222222222,0.222222222,0.0,0.0,0.5,1.0,11,0.407,1,0.037,4,0.148,2,0.074,0,0.0,3,0.111,0,0.0,0,0.0,6,0.222,27,0.102272727,1.421052632,3,0.011,5,52.2,3.6,11.584472366059664,1.51657508881031,31,4
id_ u1kvhY,4123,M,Harju maakond,18.0,21,19.5,1.0,1,2.0,3,2.5,2.0,3,2.5,2.0,2,2.0,2,3.0,3,3.0,2.0,2,2.0,2,2.0,2.0,3,2.5,244,16,6.31147541,15.25,57,17.48219738,20.389467213114752,146,0.598360656,9.346692235,58.84174028,0.016994739,287.4151724,3.103761159,0.590163934,0.102459016,0.147540984,0.0,0.110655738,0.016393443,0.012295082,0.090163934,0.274590164,0.245901639,1.116666667,45.49180328,0.88,0.666666667,0.296296296,1.0,0.409090909,0.656716418,0.566666667,1.54,0.143442623,0.163934426,0.200819672,0.237704918,0.295081967,11,0.401709402,0.213675214,0.111111111,0.008547009,0.0,0.008547009,0.068376068,0.042735043,0.017094017,0.05982906,0.0,0.051282051,0.0,0.008547009,0.0,0.008547009,0.717948718,0.273504274,10,0.268656716,7,0.28,0.92,0.08,0.0,8,0.318181818,0.363636364,0.045454545,0.318181818,0.181818182,0.090909091,0.533333333,0.5,0.033333333,0.0,0.033333333,0.05,0.366666667,0.516666667,0.016666667,0.3,0.15,0.066666667,0.0,0.283333333,0.2,0.0,0.083333333,0.37037037,0.75,4,0.444,0,0.0,1,0.111,1,0.111,0,0.0,0,0.0,0,0.0,1,0.111,2,0.222,9,0.036885246,0.5625,1,0.004,4,60.25,3.75,17.802153427792568,1.707825127659933,35,4
id_ FuKFCB,3243,M,Võru maakond,12.0,10,11.0,1.0,1,2.0,1,1.5,3.0,2,2.5,1.0,1,1.0,1,1.0,2,1.5,1.0,1,1.0,1,1.0,1.0,0,0.5,215,19,5.190697674,11.31578947,35,13.0238668,13.575716034271723,108,0.502325581,7.365538866,41.89319958,0.023870223,107.5,1.949801051,0.51627907,0.051162791,0.172093023,0.0,0.055813953,0.051162791,0.0,0.074418605,0.325581395,0.269767442,1.206896552,45.58139535,1.0,0.513513514,0.5,0.636363636,0.375,0.6,0.362068966,1.526315789,0.046511628,0.055813953,0.069767442,0.088372093,0.130232558,12,0.24742268,0.24742268,0.237113402,0.030927835,0.010309278,0.041237113,0.041237113,0.010309278,0.030927835,0.041237113,0.0,0.06185567,0.0,0.010309278,0.0,0.020618557,0.639175258,0.350515464,11,0.342857143,5,0.272727273,0.909090909,0.090909091,0.0,5,0.4375,0.3125,0.0625,0.125,0.1875,0.3125,0.568965517,0.551724138,0.017241379,0.0,0.0,0.017241379,0.275862069,0.568965517,0.0,0.155172414,0.137931034,0.24137931,0.051724138,0.120689655,0.120689655,0.0,0.0,0.166666667,0.636363636,16,0.381,1,0.024,2,0.048,1,0.024,3,0.071,10,0.238,0,0.0,2,0.048,7,0.167,42,0.195348837,2.210526316,13,0.06,5,41.4,3.6,16.10279478848315,1.51657508881031,37,4
